level,name,GEOID,county,FIPS,diversity_rank,diversity,median_diversity,pct_hisp,pct_white,pct_black,pct_aian,pct_asian,pct_nhpi,pct_other,pct_two,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two
municipality,Mount Olive,3402749080,Morris,027,111,0.5542548105970861,0.5240613031684282,0.1544000553901544,0.636952156754137,0.06255625562556255,4.154261580004154e-4,0.10472201066260473,1.0385653950010386e-4,0.004881257356504881,0.03596898151353597,28886,4460,18399,1807,12,3025,3,141,1039
municipality,Robbinsville,3402163850,Mercer,021,112,0.5541192322001213,0.5240613031684282,0.05104678211424141,0.6032566554665288,0.03030498836908762,0.0013569397777203412,0.2783018867924528,0,0.0047169811320754715,0.031015766347893513,15476,790,9336,469,21,4307,0,73,480
municipality,Livingston,3401340890,Essex,013,113,0.5525635011459715,0.5240613031684282,0.05052665177146505,0.6004468560485158,0.03041812958825407,3.830194701563996e-4,0.2877114586658155,1.2767315671879988e-4,0.005649537184806894,0.024736674114267474,31330,1583,18812,953,12,9014,4,177,775
municipality,Phillipsburg,3404158350,Warren,041,114,0.5498397186200621,0.5240613031684282,0.16735523640894484,0.6351891927339498,0.12505738081185652,3.934684241589612e-4,0.014361597481802085,6.55780706931602e-5,0.004459308807134894,0.05311823726145977,15249,2552,9686,1907,6,219,1,68,810
municipality,Springfield,3403970020,Union,039,115,0.5454445593813313,0.5240613031684282,0.1301082780300384,0.6485039003376412,0.08755384794504599,4.0749796251018743e-4,0.08970776574688555,5.821399464431249e-5,0.007626033298404936,0.03603446268482943,17178,2235,11140,1504,7,1541,1,131,619
municipality,Scotch Plains,3403966060,Union,039,116,0.5418875667422709,0.5240613031684282,0.10329221403396348,0.6527154758090356,0.09472124319128485,5.607177186799103e-4,0.10453380326818328,0,0.005807433514899071,0.03836911246395386,24968,2579,16297,2365,14,2610,0,145,958
municipality,Monroe,3402347280,Middlesex,023,117,0.5390834171797558,0.5240613031684282,0.05650903403712392,0.6211672222908178,0.03405770259702844,8.64304235090752e-4,0.2653002428283327,8.231468905626209e-5,0.004403835864510022,0.017615343458040087,48594,2746,30185,1655,42,12892,4,214,856
municipality,Florence,3400523850,Burlington,005,118,0.5326034395049366,0.5240613031684282,0.07001248829222603,0.660006244146113,0.12581954417733374,0.001326881049016547,0.09600374648766781,3.1220730565095225e-4,0.0038245394942241647,0.04269434904776772,12812,897,8456,1612,17,1230,4,49,547
municipality,Cherry Hill,3400712280,Camden,007,119,0.5317739495279588,0.5240613031684282,0.08635467385618285,0.6588333132134186,0.07071479350260888,6.438372701299747e-4,0.14309283328638686,2.5485225275978166e-4,0.005445790243182702,0.0346599063753303,74553,6438,49118,5272,48,10668,19,406,2584
municipality,Summit,3403971430,Union,039,120,0.527533310033651,0.5240613031684282,0.14582508032923985,0.6609445838285136,0.03939433953959241,3.521281746555746e-4,0.10436198776354592,2.2008010915973414e-4,0.0055460187508253,0.04335578150446762,22719,3313,15016,895,8,2371,5,126,985
municipality,Aberdeen,3402500070,Monmouth,025,121,0.5271226224229759,0.5240613031684282,0.1366858088881991,0.6632521082311552,0.0974183868798179,0.0012933933467846241,0.057737079000465624,1.552072016141549e-4,0.005587459258109577,0.03787055719385379,19329,2642,12820,1883,25,1116,3,108,732
municipality,Elizabeth,3403921000,Union,039,122,0.5260727493476389,0.5240613031684282,0.6572054946175472,0.12056257192384448,0.16213637489256943,0.001107080948010896,0.02008040903727658,1.3110169121181663e-4,0.015622951536074816,0.023154015353464726,137298,90233,16553,22261,152,2757,18,2145,3179
municipality,Mount Laurel,3400549020,Burlington,005,123,0.5220498569892177,0.5240613031684282,0.06636345305043354,0.6699303206147917,0.10734210113593082,0.0011874621916519168,0.1065131180964757,3.136692581722044e-4,0.005444402123988977,0.0429054735285551,44633,2962,29901,4791,53,4754,14,243,1915
municipality,Guttenberg,3401728650,Hudson,017,124,0.521568716876079,0.5240613031684282,0.6547391195805942,0.20188066905217608,0.02854289756178747,5.825081135058667e-4,0.08854123325289173,2.4964633435965716e-4,0.01015228426395939,0.01531164184072564,12017,7868,2426,343,7,1064,3,122,184
municipality,City of Orange,3401313045,Essex,013,125,0.5196181507834736,0.5240613031684282,0.2898075304090342,0.031149301825993556,0.6278340639242895,0.0012773245855952622,0.007605887305135425,2.03210729526519e-4,0.008796121578076466,0.03332655964234912,34447,9983,1073,21627,44,262,7,303,1148
municipality,Bernards,3403505560,Somerset,035,126,0.5170396466715876,0.5240613031684282,0.05731225296442688,0.6482213438735178,0.01606180380883938,2.515271289974847e-4,0.24103485447358966,2.1559468199784405e-4,0.0034854473589651454,0.033417175709665826,27830,1595,18040,447,7,6708,6,97,930
municipality,Bordentown,3400506700,Burlington,005,127,0.515028571900009,0.5240613031684282,0.08743957255533882,0.675769654821474,0.10058519209566619,0.0012721567297091002,0.09651429056059707,8.481044864727334e-5,0.003477228394538207,0.03485709439402934,11791,1031,7968,1186,15,1138,1,41,411
municipality,Randolph,3402761890,Morris,027,128,0.514622942972051,0.5240613031684282,0.14303501358285542,0.6697102324177483,0.027920313914880774,5.659523090854211e-4,0.1201705402958044,3.773015393902807e-5,0.004414428010866284,0.0341457893148204,26504,3791,17750,740,15,3185,1,117,905
municipality,Fair Lawn,3400322470,Bergen,003,129,0.51375551910159,0.5240613031684282,0.15372061728748532,0.667248833280843,0.022446817648237753,6.871474790276863e-4,0.1279239556789876,2.863114495948693e-4,0.005439917542302517,0.022246399633521343,34927,5369,23305,784,24,4468,10,190,777
municipality,Hoboken,3401732250,Hudson,017,130,0.513102500962071,0.5240613031684282,0.1413793674175342,0.6729174597394859,0.03485658484913686,4.7998146278488554e-4,0.10787997153213393,8.275542461808372e-4,0.007232824111620516,0.034426256641122824,60419,8542,40657,2106,29,6518,50,437,2080
municipality,Totowa,3403173140,Passaic,031,131,0.5110737459235765,0.5240613031684282,0.21762313601446,0.659466787166742,0.022322638951649345,0,0.07573429733393583,9.03750564844103e-5,0.004338002711251694,0.02042476276547673,11065,2408,7297,247,0,838,1,48,226
municipality,Warren,3403576940,Somerset,035,132,0.510915636364035,0.5240613031684282,0.07259938453808956,0.6637568297431389,0.017396219305407273,3.7681341455755824e-4,0.20404446398291778,2.5120894303837216e-4,0.005966212397161339,0.03560886767568926,15923,1156,10569,277,6,3249,4,95,567
municipality,Saddle Brook,3400365340,Bergen,003,133,0.5077108460246827,0.5240613031684282,0.192248495872394,0.6683923324471807,0.030922065202182734,4.1975654120610047e-4,0.08528053728837275,1.3991884706870015e-4,0.004337484259129705,0.01825940954246537,14294,2748,9554,442,6,1219,2,62,261
municipality,Hackettstown,3404128710,Warren,041,134,0.5042497010897882,0.5240613031684282,0.2335089773614364,0.6616900858704138,0.033274785323965654,0.0010733801717408276,0.039227166276346606,9.75800156128025e-5,0.004195940671350508,0.026932084309133488,10248,2393,6781,341,11,402,1,43,276
municipality,Montville,3402747670,Morris,027,135,0.5012170138044951,0.5240613031684282,0.07028953229398664,0.6685523385300668,0.01420935412026726,8.017817371937639e-4,0.21429844097995546,2.6726057906458796e-4,0.004498886414253897,0.027082405345211582,22450,1578,15009,319,18,4811,6,101,608
municipality,Deptford,3401517710,Gloucester,015,136,0.49980438834288987,0.5240613031684282,0.08631203677643307,0.6869937767770585,0.12781061387872533,0.0012508990837164211,0.05056759545923633,1.8763486255746317e-4,0.0035337899114988897,0.043343653250773995,31977,2760,21968,4087,40,1617,6,113,1386
municipality,Little Falls,3403140620,Passaic,031,137,0.49816750107569296,0.5240613031684282,0.1694610778443114,0.6823353293413174,0.0624251497005988,2.994011976047904e-4,0.05411676646706587,1.497005988023952e-4,0.005089820359281437,0.026122754491017964,13360,2264,9116,834,4,723,2,68,349
municipality,Fairview,3400322560,Bergen,003,138,0.49774169174503946,0.5240613031684282,0.6667554076539102,0.23381031613976705,0.015973377703826955,0.0017970049916805324,0.04618968386023294,0,0.01584026622296173,0.01963394342762063,15025,10018,3513,240,27,694,0,238,295
municipality,Willingboro,3400581440,Burlington,005,139,0.4967244534918108,0.5240613031684282,0.11806579071153062,0.1153375772209853,0.6880115400294773,0.0025400608360249617,0.01887798300354354,7.526106180814701e-4,0.009250838847251404,0.04716359873310546,31889,3765,3678,21940,81,602,24,295,1504
municipality,Ridgewood,3400363000,Bergen,003,140,0.4921976668535992,0.5240613031684282,0.07964124870087379,0.6846298933754186,0.01358789791754879,2.694484006312791e-4,0.1753724161823011,0,0.004272681781438854,0.0422264136417876,25979,2069,17786,353,7,4556,0,111,1097
municipality,Hawthorne,3403130570,Passaic,031,141,0.4915072651737452,0.5240613031684282,0.24331618882721393,0.6685848143810155,0.03009624688088812,6.110913072261547e-4,0.027091714620359527,1.0184855120435912e-4,0.005397973213831033,0.024800122218261444,19637,4778,13129,591,12,532,2,106,487
municipality,Ocean,3402554270,Monmouth,025,142,0.4902846135220822,0.5240613031684282,0.10866579936397802,0.6963717837525296,0.09059699335067939,8.311650766117375e-4,0.05912113327551315,1.806880601329864e-4,0.010046256143394045,0.03418618097716103,27672,3007,19270,2507,23,1636,5,278,946
municipality,New Providence,3403951810,Union,039,143,0.4875276040199117,0.5240613031684282,0.09164835164835165,0.6907692307692308,0.017655677655677656,5.128205128205128e-4,0.15904761904761905,1.4652014652014652e-4,0.004395604395604396,0.035824175824175825,13650,1251,9429,241,7,2171,2,60,489
municipality,Westwood,3400380270,Bergen,003,144,0.48378258288951825,0.5240613031684282,0.14633930154227973,0.6967736216982805,0.039709271405779116,5.318205991845417e-4,0.08225491934054245,5.318205991845417e-4,0.0029250132955149794,0.03093423151923418,11282,1651,7861,448,6,928,6,33,349
municipality,Delran,3400517440,Burlington,005,145,0.4806416708742236,0.5240613031684282,0.06408679118666816,0.7068001342131752,0.09204786936584275,0.0010625209708086344,0.036796778883793756,2.796107817917459e-4,0.027513700928307797,0.0714125936696119,17882,1146,12639,1646,19,658,5,492,1277
municipality,Marlboro,3402544070,Monmouth,025,146,0.47956203732533365,0.5240613031684282,0.05597320611054889,0.6850995132764686,0.017541323309720015,8.915233000819238e-4,0.21733892342537708,9.638089730615392e-5,0.0033733314057153873,0.019685798274781938,41502,2323,28433,728,37,9020,4,140,817
municipality,Berkeley Heights,3403905320,Union,039,147,0.47911486817545745,0.5240613031684282,0.08581106511102747,0.6983816334211517,0.018216033120060218,3.763643206624012e-4,0.1554384644335717,7.527286413248025e-5,0.00632292058712834,0.035378246142265715,13285,1140,9278,242,5,2065,1,84,470
municipality,Holmdel,3402532640,Monmouth,025,148,0.478565933412604,0.5240613031684282,0.05683908045977012,0.6893103448275862,0.010862068965517242,2.8735632183908046e-4,0.2043103448275862,0,0.004080459770114942,0.03431034482758621,17400,989,11994,189,5,3555,0,71,597
municipality,Monroe,3401547250,Gloucester,015,149,0.4752972186539576,0.5240613031684282,0.07532936390333271,0.70415173640111,0.14257617803162972,9.96847805587736e-4,0.02629522860144947,5.118948190855942e-4,0.0036102055661826117,0.04652854487162217,37117,2796,26136,5292,37,976,19,134,1727
municipality,Rockaway,3402764080,Morris,027,150,0.4739887082299171,0.5240613031684282,0.15764965865593308,0.7025768517422359,0.028846533285979244,3.9461741841284874e-4,0.07568762085158438,3.9461741841284874e-4,0.0032753245728266447,0.03117477605461505,25341,3995,17804,731,10,1918,10,83,790
municipality,Gloucester City,3400726820,Camden,007,151,0.47248691287173616,0.5240613031684282,0.15029606408916754,0.7059386973180076,0.055729710902124696,0.0018286311389759666,0.03718216649251132,5.224660397074191e-4,0.0029606408916753742,0.04554162312783003,11484,1726,8107,640,21,427,6,34,523
municipality,Wallington,3400376490,Bergen,003,152,0.4706290598675079,0.5240613031684282,0.19371418941691945,0.6981799797775531,0.026963262554769128,9.268621503201888e-4,0.05847657566565555,5.055611729019212e-4,0.00766767778901247,0.013565891472868217,11868,2299,8286,320,11,694,6,91,161
