Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Fair Haven,Monmouth,40,0.09578326281829375,3775,475,168,0.0176678445229682,0.5901060070671378,6015,1.5934663601999999,0.011305070656691604,0.0314214463840399,0.006982543640897756,0,0,0,0.9502909393183707,0.026932668329177057,0.9730673316708229,158264,Fair Haven Monmouth
Closter,Bergen,41,0.5178924682425547,2756,92,226,0.7597173144876325,0.4840989399293286,8710,3.160216917,0.3598163030998852,0.03857634902411022,0.006773823191733639,0,0.002296211251435132,0,0.5925373134328358,0.07382319173363949,0.9261768082663605,130670,Closter Bergen
Allentown,Monmouth,43,0.16478933960415443,3170,377,207,0.1413427561837456,0.5123674911660777,1890,0.5961797127,0.01164021164021164,0.031216931216931216,0.015343915343915344,0,0.0291005291005291,0,0.9126984126984127,0.031216931216931216,0.9687830687830687,96154,Allentown Monmouth
Mantua,Gloucester,44,0.12217388390716033,944,437,376,0.06713780918727916,0.2049469964664311,15110,16.0025519511,0.025678358702845797,0.026803441429516878,0.009861019192587691,0,0.0015221707478491066,0,0.9361350099272006,0.03229649238914626,0.9677035076108538,93601,Mantua township Gloucester
East Hanover,Morris,46,0.27392451576538634,1427,269,331,0.34275618374558303,0.303886925795053,11241,7.8747755229,0.13041544346588382,0.008184325237968153,0.01796993150075616,7.116804554754915e-4,8.896005693443643e-4,0,0.841829018770572,0.14447113246152476,0.8555288675384752,121769,East Hanover township Morris
Kingwood,Hunterdon,47,0.057978810616688525,108,505,511,0.01060070671378092,0,3777,35.0054348787,0.006619009796134498,0,0.019857029388403495,0,0.003177124702144559,0,0.9703468361133174,0.018003706645485836,0.9819962933545142,112139,Kingwood township Hunterdon
Wyckoff,Bergen,48,0.14126241888627333,2614,414,236,0.0989399293286219,0.45936395759717313,17231,6.590746305,0.051999303580755614,0.005919563577273519,0.015089083628344263,0,0.0019151529220590795,0,0.9250768962915675,0.03395043816377459,0.9660495618362254,147463,Wyckoff township Bergen
Oakland,Bergen,49,0.16820143291585898,1546,373,323,0.1519434628975265,0.3250883392226148,13145,8.5023552042,0.05576264739444656,0.022518067706352226,0.008292126283758083,0.002206162038798022,0.001217192848992012,0,0.9100038037276531,0.0696842906047927,0.9303157093952074,112944,Oakland Bergen
Oradell,Bergen,50,0.3323544860479277,3410,221,191,0.43462897526501765,0.5406360424028268,8222,2.4112778975999998,0.1347603989297008,0.024446606665045,0.02700072974945269,0,0.008756993432254926,0,0.8050352712235466,0.042690342982242765,0.9573096570177573,137583,Oradell Bergen
South Harrison,Gloucester,51,0.06433604229518186,201,498,478,0.014134275618374558,0.01060070671378092,3190,15.8951431782,0.003761755485893417,0.01755485893416928,0.00909090909090909,0,0.0025078369905956114,0,0.9670846394984326,0.05141065830721003,0.94858934169279,121406,South Harrison township Gloucester
East Greenwich,Gloucester,52,0.30106016390240964,714,247,397,0.38515901060070673,0.15901060070671377,10320,14.4437125833,0.05251937984496124,0.08701550387596899,0.024127906976744187,0,0.004941860465116279,0.001937984496124031,0.8294573643410853,0.031104651162790698,0.9688953488372093,123118,East Greenwich township Gloucester
Bridgewater,Somerset,53,0.4467386470649175,1422,139,332,0.6431095406360424,0.3003533568904594,45336,31.8883870305,0.22637638962413975,0.02902770425269102,0.019962061055232044,2.4263278630668784e-4,0.01694017998941239,0,0.7074510322922181,0.09237691900476443,0.9076230809952356,122684,Bridgewater township Somerset
Upper Freehold,Monmouth,54,0.17836810126925895,148,360,496,0.1696113074204947,0,6899,46.4689164654,0.05768952022032178,0.022177127119872447,0.015944339759385417,0,0,0,0.9041890129004203,0.03145383388896941,0.9685461661110306,133920,Upper Freehold township Monmouth
Mountain Lakes,Morris,56,0.2936675147264187,1634,252,312,0.37809187279151946,0.3392226148409894,4309,2.636333271,0.15061499187746577,0.006265954977953121,0.0164771408679508,0,0,0,0.8266419122766303,0.023903457878858204,0.9760965421211418,175556,Mountain Lakes Morris
Upper Saddle River,Bergen,57,0.3651599655968202,1588,194,320,0.5053003533568905,0.3321554770318021,8339,5.2528345155,0.13982491905504257,0.03717472118959108,0.03537594435783667,0,0.004916656673462046,0,0.7827077587240676,0.06439621057680778,0.9356037894231922,176674,Upper Saddle River Bergen
Byram Twp.,Sussex,58,0.0558614656552745,375,506,437,0.01060070671378092,0.0636042402826855,8076,21.517824042,0.014858841010401188,0.005943536404160475,0.004457652303120356,0,0.0032194155522535907,0,0.9715205547300644,0.03256562654779594,0.9674343734522041,104099,Byram township Sussex
Livingston,Essex,59,0.42512983964345796,2173,153,276,0.6042402826855123,0.38869257950530034,29955,13.784970771,0.2243698881655817,0.016491403772325153,0.0257052245034218,0,0.008045401435486562,0.0018360874645301285,0.7235519946586546,0.040227007177432814,0.9597729928225672,153381,Livingston township Essex
