Town,County,Best Towns Rank,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic,"Med. Household Income, 2013-17",twp_identifier
Upper Pittsgrove Twp.,Salem,213,0.12222528510281405,84,436,522,0.06713780918727916,0,3397,40.2414628473,0.012658227848101266,0.011480718280836032,0.01972328525169267,0.0061819252281424784,0.013541360023550192,0,0.9364144833676774,0.04680600529879305,0.9531939947012069,95489,Upper Pittsgrove township Salem
Woodstown,Salem,214,0.24197599396459213,2223,301,269,0.2862190812720848,0.3957597173144876,3501,1.5748760313,0,0.08911739502999143,0.045129962867752074,0,8.56898029134533e-4,0,0.864895744073122,0.03656098257640674,0.9634390174235933,76071,Woodstown Salem
Milltown,Middlesex,215,0.2103584133929841,4555,333,123,0.21908127208480566,0.6713780918727915,7069,1.5518536605,0.03918517470646485,0.052624133540811996,0.01909746781723016,0,0.003112179940585656,0,0.8859810439949073,0.12929693025887679,0.8707030697411232,99704,Milltown Middlesex
Maplewood,Essex,216,0.5604059491256455,6377,67,77,0.8197879858657244,0.7809187279151943,24706,3.8739903344999997,0.027847486440540758,0.34181980085809116,0.04027361774467741,0.001538087913867077,0.022990366712539463,0,0.5655306403302841,0.07900914757548774,0.9209908524245123,126000,Maplewood township Essex
Pompton Lakes,Passaic,218,0.2263661617564512,3888,320,161,0.24381625441696114,0.6007067137809188,11205,2.8821098592,0.055510932619366356,0.01320838911200357,0.032039268183846496,0,0.022400713966979027,0,0.8768406961178046,0.16938866577420794,0.830611334225792,92952,Pompton Lakes Passaic
Lincoln Park,Morris,219,0.20627624039666514,1636,335,311,0.21908127208480566,0.34275618374558303,10464,6.3977441814,0.0529434250764526,0.023413608562691132,0.021597859327217125,0,0.013379204892966361,0,0.8886659021406728,0.11573012232415902,0.884269877675841,91285,Lincoln Park Morris
Independence,Warren,220,0.142891365089583,279,410,458,0.10247349823321555,0.024734982332155476,5541,19.8292936842,0.022920050532394876,0.024724778920772423,0.02165674066053059,0,0.004150875293268363,0.0016242555495397943,0.9249232990434939,0.06677495036996932,0.9332250496300307,98589,Independence township Warren
Voorhees,Camden,221,0.5066402783280404,2562,100,241,0.7385159010600707,0.45229681978798586,29386,11.4709418109,0.19199618866126728,0.10328047369495678,0.02256176410535629,0.004015517593411829,0.01092356904648472,0,0.6672224868985231,0.04389845504662084,0.9561015449533792,85199,Voorhees township Camden
Riverdale,Morris,222,0.15314851739169255,2093,393,283,0.11307420494699646,0.3745583038869258,4238,2.0250304074,0.045776309579990564,0,0.005427088249174139,0,0.030202925908447382,0,0.918593676262388,0.1050023596035866,0.8949976403964134,100602,Riverdale Morris
Wanaque,Passaic,223,0.23639729227978856,1462,309,328,0.27208480565371024,0.31448763250883394,11782,8.057607386399999,0.04354099473773553,0.03989135970123918,0.037854354099473776,0,0.00772364624002716,0,0.8709896452215243,0.0970123917840774,0.9029876082159226,83010,Wanaque Passaic
Blairstown,Warren,225,0.053524392817058564,195,508,481,0.01060070671378092,0.007067137809187279,5833,29.8858847859,0.009943425338590777,0.009429110234870563,0,0,0.007886164923709926,0,0.9727412995028287,0.1278930224584262,0.8721069775415738,88594,Blairstown township Warren
West Amwell,Hunterdon,226,0.10074190961138796,128,462,505,0.024734982332155476,0,2781,21.6466679286,0.02193455591513844,0.011866235167206042,0.012944983818770227,0,0.005393743257820928,0,0.9478604818410644,0.03164329377921611,0.9683567062207838,110000,West Amwell township Hunterdon
Ogdensburg,Sussex,227,0.13621344680258718,1104,419,362,0.09187279151943463,0.2226148409893993,2433,2.2035889161,0.031237155774763666,0.004521167283189478,0.02548294286888615,0,0.006987258528565557,0.0032881216605014385,0.9284833538840938,0.08754623921085081,0.9124537607891492,82500,Ogdensburg Sussex
Eastampton,Burlington,228,0.5447165361735813,1048,76,364,0.8056537102473498,0.2226148409893993,6003,5.7301019919,0.07762785274029652,0.1985673829751791,0.047476261869065464,0.005330667999333667,0.033483258370814596,0,0.6375145760453107,0.0756288522405464,0.9243711477594536,90938,Eastampton township Burlington
Dennis,Cape May,229,0.031100418396117546,104,518,513,0,0,6298,60.544395054,0.007462686567164179,0.0033343918704350586,0.004922197523023182,0,0,0,0.9842807240393776,0.06097173705938393,0.939028262940616,67024,Dennis township Cape May
Westampton,Burlington,230,0.5715295966955726,796,58,391,0.8445229681978799,0.17667844522968199,8730,10.9739369025,0.05441008018327606,0.22348224513172968,0.10320733104238258,0,0.015005727376861398,0,0.6038946162657503,0.12107674684994273,0.8789232531500573,105000,Westampton township Burlington
Jackson,Ocean,231,0.2265992983170776,570,319,415,0.24734982332155478,0.10954063604240283,56501,99.17094291389999,0.03472504911417497,0.05451230951664572,0.01798198261977664,3.008796304490186e-4,0.015751933594095678,0,0.8767278455248579,0.09513105962726323,0.9048689403727368,88063,Jackson township Ocean
Hazlet,Monmouth,232,0.15668442881844025,3606,386,176,0.12367491166077739,0.568904593639576,20082,5.5691878671,0.04441788666467483,0.023005676725425753,0.008764067323971716,0,0.006921621352454934,0,0.9168907479334728,0.07907578926401752,0.9209242107359825,94657,Hazlet township Monmouth
South Plainfield,Middlesex,233,0.56957870500698,2911,59,219,0.8409893992932862,0.49469964664310956,24154,8.2960944066,0.16875051751262732,0.11161712345781237,0.02550302227374348,0,0.07510143247495239,0,0.6190279042808644,0.16510722861637825,0.8348927713836217,91889,South Plainfield Middlesex
Manasquan,Monmouth,234,0.14019179116728042,4222,415,141,0.09540636042402827,0.6395759717314488,5824,1.3793993928,0.049107142857142856,0.01304945054945055,0.007383241758241758,0,0.004635989010989011,0,0.9258241758241759,0.07984203296703296,0.920157967032967,106298,Manasquan Monmouth
Alloway,Salem,235,0.21169872469752393,100,332,516,0.21908127208480566,0,3362,33.4762591878,0.00594883997620464,0.07168352171326592,0.03361094586555621,0,0.00446162998215348,0,0.8842950624628197,0.023200475907198096,0.9767995240928019,71648,Alloway township Salem
Merchantville,Camden,236,0.5915624389975025,6351,43,79,0.8833922261484098,0.773851590106007,3769,0.5934418776,0.06049349960201645,0.18890952507296366,0.006102414433536747,0,0.15786680817192889,0,0.5866277527195543,0.22074820907402495,0.7792517909259751,70563,Merchantville Camden
Garwood,Union,237,0.09670782767746677,6711,471,69,0.0176678445229682,0.7985865724381626,4365,0.6503827473,0.01695303550973654,0.015578465063001146,0.007789232531500573,0,0.009621993127147767,0,0.9500572737686139,0.15372279495990837,0.8462772050400916,79063,Garwood Union
Shamong,Burlington,238,0.0966394893564162,146,472,498,0.0176678445229682,0,6470,44.4404590344,0.01854714064914992,0.00401854714064915,0.02534775888717156,0,0.0021638330757341576,0,0.9499227202472952,0.04157650695517774,0.9584234930448222,102316,Shamong township Burlington
Delran,Burlington,240,0.3131302321948354,2526,238,245,0.40636042402826855,0.4452296819787986,16747,6.6307304349,0.049799964172687644,0.09595748492267271,0.017376246491908998,0,0.013256105571147071,0.0022093509285245117,0.821400847913059,0.022511494596047052,0.9774885054039529,94321,Delran township Burlington
Pohatcong,Warren,242,0.13940253761716948,243,416,465,0.09540636042402827,0.02120141342756184,3254,13.3696924218,0.006760909649661954,0.023048555623847573,0.02427781192378611,0,0.019053472649047325,0,0.926859250153657,0.0654578979717271,0.9345421020282729,74888,Pohatcong township Warren
West Long Branch,Monmouth,243,0.1502798986155861,2782,397,224,0.11307420494699646,0.4840989399293286,7944,2.8559697309,0.007804632426988922,0.03688318227593152,0.020518630412890232,0,0.014098690835850957,0,0.9206948640483383,0.07376636455186304,0.926233635448137,100000,West Long Branch Monmouth
Montague,Sussex,244,0.15339727507451362,83,392,523,0.11307420494699646,0,3753,45.2306119122,0.02158273381294964,0.022648547828403944,0.03250732747135625,0,0.002664535038635758,0.0015987210231814548,0.918998134825473,0.018118838262723154,0.9818811617372768,70329,Montague township Sussex
Waterford,Camden,246,0.23563346140648367,299,312,454,0.26148409893992935,0.0353356890459364,10749,36.0021852333,0.0034421806679691136,0.04037584891617825,0.04753930598195181,0,0.03739882779793469,0,0.8712438366359662,0.05898223090520048,0.9410177690947995,89898,Waterford township Camden
Fort Lee,Bergen,247,0.5717544852936677,14719,56,16,0.8480565371024735,0.950530035335689,37058,2.5176310731,0.4141885692697933,0.025905337578930324,0.030141939662151222,0.003427060283879324,0.020940147876302013,7.555723460521345e-4,0.5046413729828917,0.1310108478601112,0.8689891521398888,76578,Fort Lee Bergen
Lavallette,Ocean,248,0.008776036245696561,2509,530,246,0,0.4416961130742049,2042,0.8137455183,0,0,0.004407443682664055,0,0,0,0.9955925563173359,0.031831537708129284,0.9681684622918707,68098,Lavallette Ocean
Bogota,Bergen,249,0.5045904449419636,11180,102,31,0.7314487632508834,0.911660777385159,8437,0.7546278168,0.05914424558492355,0.10619888585990281,0.036387341472087234,0,0.11568092924025128,0,0.6825885978428351,0.44506341116510606,0.5549365888348939,79356,Bogota Bergen
Wenonah,Gloucester,250,0.15224788735205852,2203,396,270,0.11307420494699646,0.3957597173144876,2193,0.9956364561,0.0168718650250798,0.012311901504787962,0.03191974464204286,0,0.019151846785225718,0,0.9197446420428637,0.020975832193342453,0.9790241678066576,110694,Wenonah Gloucester
Beachwood,Ocean,252,0.09882500732400401,4051,466,149,0.024734982332155476,0.6289752650176679,11193,2.7630516771,0.0032162958992227285,0.012775842044134728,0.01938711694809256,8.93415527561869e-4,0.014830697757527026,0,0.9488966318234611,0.07817385866166354,0.9218261413383365,72815,Beachwood Ocean
Estell Manor,Atlantic,253,0.06736519644996775,33,496,531,0.014134275618374558,0,1742,53.3866087755,0.004592422502870264,0.012629161882893225,0.010332950631458095,0,0.006888633754305396,0,0.965556831228473,0.04879448909299656,0.9512055109070034,85313,Estell Manor Atlantic
Matawan,Monmouth,254,0.31434184209331073,3927,237,156,0.4098939929328622,0.6042402826855123,8898,2.2658637573,0.07529781973477186,0.0814789840413576,0.021465497864688696,0,0.0014610024724657227,0,0.8202966958867162,0.1029444819060463,0.8970555180939537,86149,Matawan Monmouth
Sandyston,Sussex,255,0.0776285916104309,45,489,527,0.014134275618374558,0,1854,41.332644767699996,0.022114347357065803,0.0048543689320388345,0.004314994606256742,0,0.008629989212513484,0,0.9600862998921251,0.06094929881337648,0.9390507011866235,80190,Sandyston township Sussex
Englishtown,Monmouth,256,0.29893588886190103,3740,249,169,0.38162544169611307,0.5901060070671378,2131,0.5698310904,0.07836696386672924,0.03144063819802909,0.02674800563115908,0,0.03144063819802909,0,0.8320037541060535,0.09760675739089629,0.9023932426091037,77992,Englishtown Monmouth
Knowlton,Warren,257,0.14209667483235056,120,412,507,0.10247349823321555,0,2976,24.7311802881,0.033602150537634407,0.0114247311827957,0.029905913978494625,0,0,0,0.9250672043010753,0.014112903225806451,0.9858870967741935,85652,Knowlton township Warren
South Toms River,Ocean,258,0.6055260416141928,3232,37,201,0.8939929328621908,0.519434628975265,3741,1.1574899621999999,0.00801924619085806,0.18952151831061215,0.14648489708634055,8.019246190858059e-4,0.08019246190858059,0,0.5749799518845229,0.29403902699812884,0.7059609730018711,62500,South Toms River Ocean
Jefferson,Morris,259,0.1778967032259412,552,361,417,0.1696113074204947,0.10247349823321555,21440,38.8357735194,0.055363805970149255,0.018796641791044778,0.015578358208955223,6.529850746268657e-4,0.0049440298507462685,0,0.9046641791044776,0.08661380597014925,0.9133861940298508,97440,Jefferson township Morris
Hainesport,Burlington,260,0.3150926404692348,942,234,377,0.4169611307420495,0.20141342756183744,6083,6.4601082117,0.05753739930955121,0.1001150747986191,0.023179352293276344,0,0,0,0.8191681735985533,0.027124773960216998,0.972875226039783,97420,Hainesport township Burlington
Lambertville,Hunterdon,262,0.09956692165798608,3542,465,183,0.024734982332155476,0.558303886925795,3840,1.0842765219,0.016666666666666666,0.0234375,0.007552083333333333,0,0.00390625,0,0.9484375,0.027083333333333334,0.9729166666666667,84231,Lambertville Hunterdon
Hasbrouck Heights,Bergen,263,0.34644414910444443,8012,212,47,0.45936395759717313,0.8586572438162544,12205,1.523372994,0.12888160589922162,0.029414174518639903,0.009995903318312167,0.00426054895534617,0.030561245391233102,0,0.7968865219172471,0.14600573535436295,0.853994264645637,87800,Hasbrouck Heights Bergen
Mine Hill,Morris,264,0.29228505043539355,1228,256,349,0.3710247349823322,0.2579505300353357,3609,2.9378561355,0.06622333056248268,0.04156275976724855,0.03020227209753394,0,0.021058464948739263,0.004156275976724855,0.8367968966472707,0.22471598780825713,0.7752840121917428,84904,Mine Hill township Morris
Hamburg,Sussex,265,0.14252527236268153,2771,411,225,0.10247349823321555,0.4840989399293286,3172,1.1447127549,0.028688524590163935,0.0403530895334174,0,0,0.006305170239596469,0,0.9246532156368222,0.04476670870113493,0.955233291298865,73735,Hamburg Sussex
Nutley,Essex,266,0.3473311703168265,8548,211,43,0.4628975265017668,0.8692579505300353,28829,3.3725858166,0.11550868916715808,0.029831072878004787,0.029553574525651254,0,0.02709077664851365,0,0.7980158867806723,0.15737625307849734,0.8426237469215027,93691,Nutley township Essex
Frankford,Sussex,267,0.0731213867577365,159,492,492,0.014134275618374558,0,5399,33.8780823381,0.02463419151694758,0.004445267642155954,0.005000926097425449,0,0.0035191702167067978,0,0.9624004445267642,0.08705315799222078,0.9129468420077792,87500,Frankford township Sussex
Andover,Sussex,268,0.1367765988443842,302,418,453,0.09187279151943463,0.0353356890459364,6052,20.053481877,0.025611368142762724,0.031064111037673495,0.001487111698612029,0,0.01371447455386649,0,0.9281229345670853,0.04180436219431593,0.9581956378056841,101250,Andover township Sussex
West Milford,Passaic,270,0.13216678485468825,352,422,441,0.09187279151943463,0.06007067137809187,26759,75.9179723445,0.01591987742441795,0.012182816996150828,0.015471430173025897,0.006913561792294181,0.016891513135767405,0.0015695653798721925,0.9310512350984715,0.09054897417691245,0.9094510258230876,98843,West Milford township Passaic
Wall,Monmouth,271,0.10174518979960434,849,461,387,0.028268551236749116,0.1872791519434629,26020,30.6579859443,0.009953881629515757,0.03393543428132206,0.005995388162951576,0,0.0030361260568793234,0,0.9470791698693313,0.03212913143735588,0.9678708685626441,101983,Wall township Monmouth
Secaucus,Hudson,272,0.5295569581348374,3309,82,199,0.7915194346289752,0.5265017667844523,19279,5.826376413,0.30063799989626017,0.030603247056382593,0.025364386119612014,0.004097722910939364,0.024378857824575963,2.0747964106022096e-4,0.6147103065511696,0.16878468800248975,0.8312153119975102,99883,Secaucus Hudson
Ocean City,Cape May,274,0.1733238996816049,1687,368,308,0.15901060070671377,0.3462897526501767,11328,6.714062784,0.018273305084745763,0.026129943502824857,0.017390536723163843,7.944915254237289e-4,0.029396186440677968,0,0.9080155367231638,0.0813912429378531,0.9186087570621468,72715,Ocean City Cape May
Newfield,Gloucester,275,0.14357027334110972,935,409,378,0.10247349823321555,0.20141342756183744,1626,1.7381187251999999,0,0.01845018450184502,0.03198031980319803,0,0.025215252152521524,0,0.9243542435424354,0.07810578105781057,0.9218942189421894,74226,Newfield Gloucester
Netcong,Morris,276,0.23977720850615258,3897,305,158,0.2826855123674912,0.6007067137809188,3245,0.8326883565,0.04067796610169491,0.05423728813559322,0.03020030816640986,0,0.0061633281972265025,0,0.8687211093990755,0.1140215716486903,0.8859784283513097,56484,Netcong Morris
Lyndhurst,Bergen,278,0.25631925962092517,4786,291,118,0.3003533568904594,0.6784452296819788,21937,4.5839390454,0.07995623831882208,0.011806536901125951,0.016592970779960796,7.749464375256416e-4,0.03309477139080093,0,0.8577745361717646,0.227059306195013,0.772940693804987,73218,Lyndhurst township Bergen
East Rutherford,Bergen,279,0.485758560412492,2542,114,243,0.696113074204947,0.44876325088339225,9433,3.7114951302,0.1943178204176826,0.04696279020460087,0.0223682815647196,0.00636064878617619,0.03911799003498357,0.0037103784586027776,0.6871620905332344,0.20650906392452031,0.7934909360754797,77400,East Rutherford Bergen
Butler,Morris,280,0.1749605474454966,3826,367,167,0.15901060070671377,0.5901060070671378,7780,2.0336829084,0.04730077120822622,2.570694087403599e-4,0.016323907455012852,0.018380462724935733,0.011053984575835476,0,0.9066838046272494,0.1538560411311054,0.8461439588688946,96474,Butler Morris
Galloway,Atlantic,281,0.4876950885233451,418,112,434,0.6996466431095406,0.0706713780918728,37029,88.6654329561,0.11463987685327716,0.11599016986686111,0.03491857733128089,0.0025385508655378216,0.036241864484593156,5.671230657052581e-4,0.6951038375327446,0.11480191201490723,0.8851980879850928,65000,Galloway township Atlantic
Southampton,Burlington,282,0.12611810350077346,234,432,469,0.07420494699646643,0.0176678445229682,10274,43.8882761889,0.005061319836480436,0.026863928362857697,0.018493284017909284,0,0.015475958730776718,0,0.9341055090519759,0.04350788397897606,0.9564921160210239,57439,Southampton township Burlington
Haddon Heights,Camden,283,0.09746889379180934,4808,469,116,0.0176678445229682,0.6819787985865724,7530,1.5662621402999999,0.014342629482071713,0.009296148738379814,0.010756972111553785,0,0.01593625498007968,0,0.949667994687915,0.029880478087649404,0.9701195219123506,90387,Haddon Heights Camden
Hampton,Sussex,284,0.11943063184659886,202,439,477,0.06007067137809187,0.01060070671378092,4959,24.5683310301,0.018955434563420043,0.01008267795926598,0.013712442024601734,0.0028231498285944748,0.01653559185319621,0,0.9378907037709215,0.07723331316797742,0.9227666868320226,75643,Hampton township Sussex
Lafayette,Sussex,285,0.030618094027145215,134,519,503,0,0,2391,17.8833265182,0,0.00794646591384358,0.003345880384776244,0,0.004182350480970306,0,0.9845253032204099,0.0807193642827269,0.9192806357172731,96815,Lafayette township Sussex
Point Pleasant Borough,Ocean,286,0.03206606276705937,5305,517,101,0.0035335689045936395,0.7243816254416962,18519,3.4910374356,0.0016739564771315945,0.00388789891462822,0.005777849775905826,4.859873643285275e-4,0.004373886278956747,0,0.9838004211890491,0.0461148010151736,0.9538851989848264,93276,Point Pleasant Ocean
Quinton,Salem,287,0.25592532589537487,104,292,514,0.2968197879858657,0,2474,23.7928128867,0.004042037186742118,0.11358124494745352,0.01576394502829426,0.0068714632174616,0.004850444624090542,0,0.854890864995958,0.04890864995957963,0.9510913500404203,65515,Quinton township Salem
Ridgefield,Bergen,288,0.5272377420793439,4470,85,127,0.7809187279151943,0.6643109540636042,11369,2.5432785378,0.299234761192717,0.011170727416659337,0.03069751077491424,0.004309965696191398,0.037558272495382176,0,0.6170287624241358,0.28648078107133435,0.7135192189286657,66690,Ridgefield Bergen
Deerfield,Cumberland,290,0.4263417173716655,184,152,486,0.6042402826855123,0.0035335689045936395,3104,16.8415843167,0.006121134020618557,0.19039948453608246,0.017396907216494846,0.015141752577319588,0.039304123711340205,0,0.7316365979381443,0.14980670103092783,0.8501932989690721,65625,Deerfield township Cumberland
Laurel Springs,Camden,291,0.13602587724418347,4246,420,140,0.09187279151943463,0.6395759717314488,1917,0.4514439501,0.0198226395409494,0.03182055294731351,0.0198226395409494,0,0,0,0.9285341679707877,0.038601982263954095,0.9613980177360459,82250,Laurel Springs Camden
Sea Isle City,Cape May,292,0.021118496226744,894,524,383,0,0.19434628975265017,1971,2.2042456722,0.008625063419583967,5.073566717402334e-4,0.0015220700152207,0,0,0,0.989345509893455,0.007102993404363267,0.9928970065956367,72153,Sea Isle City Cape May
Lumberton,Burlington,293,0.4440266532735856,962,141,374,0.6360424028268551,0.20848056537102475,12390,12.8826651096,0.03123486682808717,0.17877320419693302,0.0519774011299435,0,0.016868442292171104,0,0.7211460855528652,0.05746569814366424,0.9425343018563358,84558,Lumberton township Burlington
Pennsville,Salem,294,0.14146326152527433,599,413,409,0.10247349823321555,0.127208480565371,12742,21.2662737144,0.014361952597708366,0.024956835661591587,0.024721393815727515,0.0021189766127766444,0.008083503374666458,0,0.9257573379375295,0.028723905195416732,0.9712760948045833,62134,Pennsville township Salem
Hardyston,Sussex,295,0.08763203880041792,249,484,463,0.014134275618374558,0.02120141342756184,7964,31.9883923359,0.01833249623304872,0.01757910597689603,0.009291813159216475,0,0,0,0.9547965846308388,0.025740833751883477,0.9742591662481165,92625,Hardyston township Sussex
Spotswood,Middlesex,296,0.16429191812064958,3659,379,172,0.1413427561837456,0.5830388692579506,8443,2.3073390054,0.028307473646808006,0.033874215326305815,0.014686722728887837,0.0017766196849461093,0.008409333175411584,0,0.9129456354376406,0.1079000355323937,0.8920999644676063,75226,Spotswood Middlesex
Harmony,Warren,297,0.017172794345588605,107,527,512,0,0,2540,23.7501998019,0,0.008661417322834646,0,0,0,0,0.9913385826771653,0.023228346456692913,0.9767716535433071,87000,Harmony township Warren
Stafford,Ocean,298,0.12657812777222655,586,431,413,0.07773851590106007,0.1166077738515901,27012,46.0875859587,0.013290389456537835,0.02539612024285503,0.016992447800977344,0,0.010402783947875019,0,0.9339182585517548,0.06660002961646676,0.9333999703835333,76527,Stafford township Ocean
Monmouth Beach,Monmouth,299,0.07233494726220957,3175,493,205,0.014134275618374558,0.5159010600706714,3247,1.0228310235,0.006775485063135201,0,0.02740991684631968,0,0.003079765937788728,0,0.9627348321527563,0.030489682784108407,0.9695103172158915,107383,Monmouth Beach Monmouth
Carlstadt,Bergen,300,0.26643409927717043,1588,273,319,0.3286219081272085,0.3321554770318021,6268,3.9464277138,0.08583280153158902,0,0.02839821314613912,0,0.03477983407785577,0,0.8509891512444161,0.2665922144224633,0.7334077855775367,89419,Carlstadt Bergen
Englewood Cliffs,Bergen,301,0.5310634926948827,2556,81,242,0.7915194346289752,0.44876325088339225,5435,2.1260951712,0.40864765409383624,0.018215271389144434,0.01895124195032199,0.0036798528058877645,0.001655933762649494,0,0.5488500459981601,0.049126034958601655,0.9508739650413983,134629,Englewood Cliffs Bergen
Pilesgrove,Salem,302,0.1988644907356778,116,346,508,0.19434628975265017,0,4048,34.934414100299996,0.0200098814229249,0.07905138339920949,0.001976284584980237,0,0.007658102766798419,0,0.8913043478260869,0.05755928853754941,0.9424407114624506,85889,Pilesgrove township Salem
Lakehurst,Ocean,303,0.2622631759222236,3002,281,214,0.31802120141342755,0.5053003533568905,2687,0.8951373288,0.04614812058057313,0.0543356903609974,0.010792705619650168,0,0.033494603647190174,0,0.8552288797915891,0.12727949385932266,0.8727205061406773,62262,Lakehurst Ocean
Lake Como,Monmouth,304,0.23986470652564484,6031,304,84,0.2826855123674912,0.7597173144876325,1518,0.2517151923,0.011857707509881422,0.039525691699604744,0.028985507246376812,0.015151515151515152,0.03491436100131752,0,0.8695652173913043,0.1844532279314888,0.8155467720685112,74861,Lake Como Monmouth
Bloomingdale,Passaic,305,0.17166793313396833,925,369,380,0.15547703180212014,0.1978798586572438,8139,8.8006371453,0.03907113896056027,0.02137854773313675,0.007986239095712003,0.006511856493426711,0.016218208625138224,0,0.908834009092026,0.17999754269566287,0.8200024573043372,80516,Bloomingdale Passaic
Mullica,Atlantic,306,0.2633440917355786,108,279,510,0.31802120141342755,0,6088,56.3694714297,0.0018068331143232589,0.06964520367936924,0.03449408672798949,0,0.0402431011826544,0,0.8538107752956636,0.14175427069645205,0.8582457293035479,73995,Mullica township Atlantic
Red Bank,Monmouth,307,0.5571105027576804,7000,69,61,0.8127208480565371,0.8127208480565371,12220,1.7456407254,0.022504091653027823,0.1339607201309329,0.018739770867430443,0,0.20752864157119477,0,0.6172667757774141,0.36661211129296234,0.6333878887070377,75114,Red Bank Monmouth
South Orange,Essex,308,0.5215249158479589,5799,90,89,0.7667844522968198,0.7491166077738516,16503,2.845773216,0.050415076046779375,0.2659516451554263,0.04059867902805551,5.453553899291038e-4,0.007271405199054717,0,0.635217839180755,0.06562443192146883,0.9343755680785312,121637,South Orange Essex
Gloucester Twp.,Camden,309,0.42904330604444174,2790,150,223,0.6113074204946997,0.4876325088339223,64034,22.9547654622,0.04097823031514508,0.15502701689727333,0.03126464065964956,2.811006652715745e-4,0.035168816566199204,3.74800887028766e-4,0.7369053940094324,0.06855732891901177,0.9314426710809882,73701,Gloucester township Camden
Mount Holly,Burlington,310,0.46210606715350666,3378,128,194,0.6643109540636042,0.5335689045936396,9536,2.8229848218,0.020134228187919462,0.20176174496644295,0.03901006711409396,0,0.036283557046979865,0,0.7028104026845637,0.16610738255033558,0.8338926174496645,60656,Mount Holly township Burlington
Hope,Warren,312,0.03475057777777768,104,516,515,0.0035335689045936395,0,1875,18.0826510293,0.0016,0,0.005866666666666667,0,0.010133333333333333,0,0.9824,0.0416,0.9584,91852,Hope township Warren
Avon-by-the-Sea,Monmouth,313,0.05839003025591705,4263,503,139,0.01060070671378092,0.6395759717314488,1814,0.4255482231,0.002205071664829107,0.004961411245865491,0.0033076074972436605,0.005512679162072767,0.013781697905181918,0,0.9702315325248071,0.04630650496141125,0.9536934950385888,78323,Avon-by-the-Sea Monmouth
Florence,Burlington,314,0.3966754520633019,1294,177,346,0.5477031802120141,0.26501766784452296,12645,9.7685678376,0.06468960063266113,0.12708580466587585,0.034638196915776985,0,0.010913404507710557,0,0.7626729932779754,0.06729932779754844,0.9327006722024516,81011,Florence township Burlington
Spring Lake Borough,Monmouth,315,0.012007567226701488,2236,529,266,0,0.4028268551236749,2980,1.332485154,0.006040268456375839,0,0,0,0,0,0.9939597315436242,0,1,88679,Spring Lake Monmouth
National Park,Gloucester,316,0.1437565003308855,2976,407,216,0.10600706713780919,0.5017667844522968,2998,1.0074233169,0.007004669779853236,0.027018012008005337,0.03302201467645097,0,0.00867244829886591,0,0.9242828552368245,0.028018679119412943,0.9719813208805871,61397,National Park Gloucester
North Arlington,Bergen,317,0.33025903544755575,6391,224,76,0.4275618374558304,0.784452296819788,15877,2.4843152763,0.08093468539396612,0.02834288593563016,0.02172954588398312,0,0.05744158216287712,0,0.8115513006235435,0.2765005983498142,0.7234994016501858,74481,North Arlington Bergen
Stratford,Camden,318,0.32313159886113774,4470,228,128,0.4204946996466431,0.6607773851590106,7019,1.5703853022,0.06311440376121955,0.07921356318563898,0.02108562473286793,0,0.0206582134207152,0,0.8159281948995584,0.041886308590967376,0.9581136914090326,72955,Stratford Camden
Sayreville,Middlesex,319,0.5043559214621327,2827,104,220,0.7243816254416962,0.4911660777385159,44744,15.828661005299999,0.16049079206150546,0.1294475236903272,0.02116484891829072,5.140354013946004e-4,0.014996424101555515,7.375290541748614e-4,0.6726488467727516,0.12412837475415699,0.875871625245843,79620,Sayreville Middlesex
Kenilworth,Union,320,0.37467291452619966,3836,189,164,0.5159010600706714,0.5936395759717314,8235,2.1466658069999998,0.06715239829993928,0.01785063752276867,0.039222829386763816,0.0012143290831815423,0.09338190649666059,0,0.7811778992106861,0.27334547662416514,0.7266545233758348,108281,Kenilworth Union
Montclair,Essex,321,0.5118030673688015,6184,96,81,0.7491166077738516,0.7703180212014135,38572,6.237877932,0.03297728922534481,0.24701856268796019,0.0459659856891009,0.0010888727574406305,0.022192263818313802,0,0.6507570258218397,0.0984911334646894,0.9015088665353106,113293,Montclair township Essex
Atlantic Highlands,Monmouth,322,0.15007791352359068,3344,398,196,0.11307420494699646,0.5265017667844523,4322,1.292384808,0.011800092549745489,0.025682554372975473,0.02174919018972698,0,0.013651087459509487,0.006015733456732994,0.9211013419713096,0.05599259602036094,0.944007403979639,95284,Atlantic Highlands Monmouth
Audubon,Camden,323,0.10502830169296518,5894,457,87,0.0353356890459364,0.7561837455830389,8736,1.4821537302,0.0016025641025641025,0.03869047619047619,0.010531135531135532,0,0.004006410256410256,0,0.9451694139194139,0.02152014652014652,0.9784798534798534,80925,Audubon Camden
Somerdale,Camden,326,0.5463868814389258,3892,74,160,0.8056537102473498,0.6007067137809188,5417,1.3919503455,0.044304965848255495,0.2281705741185158,0.03913605316595902,0,0.06036551596824811,0,0.6280228908990216,0.1282997969355732,0.8717002030644269,61964,Somerdale Camden
