Municipality,Diversity Index,Population density,Diversity Index rank,Pop. density rank,Diversity Index percentile,Pop. density percentile,"Population, 2013-17",Square miles,pct Asian,pct Black,pct Two or more,pct Native American,pct Other race,pct Pacific Islander,pct White,pct Hispanic,pct Non-Hispanic
South River,32.0%,"5,869",165,71,42,75,16345,2.784993354,4.0%,6.3%,3.5%,0.1%,3.6%,0.5%,81.9%,24.2%,75.8%
Collingswood,31.5%,"7,633",167,48,41,83,13969,1.8300101390999999,2.1%,12.0%,1.6%,0.0%,2.4%,0.0%,81.8%,8.3%,91.7%
Matawan,31.4%,"3,927",168,113,41,60,8898,2.2658637573,7.5%,8.1%,2.1%,0.0%,0.1%,0.0%,82.0%,10.3%,89.7%
Fair Lawn,31.0%,"6,514",170,59,40,80,33447,5.1350164866,13.3%,1.6%,1.6%,0.1%,1.5%,0.0%,81.9%,13.7%,86.3%
Ventnor City,30.5%,"5,341",171,78,40,73,10429,1.9524953448,9.8%,3.5%,2.4%,0.0%,1.6%,0.0%,82.7%,23.0%,77.0%
Hammonton,30.3%,357,173,266,39,6,14557,40.7642345253,1.4%,2.9%,3.3%,0.1%,9.4%,0.1%,82.8%,20.6%,79.4%
Hoboken,30.2%,"43,287",174,4,39,99,54117,1.2502014525,9.3%,2.7%,3.4%,0.0%,1.6%,0.0%,82.9%,16.2%,83.8%
East Greenwich,30.1%,714,175,239,39,16,10320,14.4437125833,5.3%,8.7%,2.4%,0.0%,0.5%,0.2%,82.9%,3.1%,96.9%
Freehold,29.8%,917,176,228,38,20,35429,38.6529312312,7.3%,5.6%,2.1%,0.2%,1.4%,0.1%,83.2%,8.9%,91.1%
Hopewell,28.6%,319,181,272,36,4,18503,58.0653817029,6.6%,5.5%,2.7%,0.0%,1.2%,0.0%,84.0%,5.4%,94.6%
Bound Brook,27.6%,"6,326",185,65,35,77,10510,1.6612867557,2.2%,4.2%,1.5%,0.6%,6.9%,0.0%,84.7%,52.2%,47.8%
Madison,27.1%,"3,728",189,117,34,59,16080,4.3133617098,6.7%,4.1%,2.9%,0.0%,1.2%,0.0%,85.0%,9.6%,90.4%
Glen Rock,27.0%,"4,425",190,98,33,66,11962,2.7034559838,11.0%,0.9%,2.9%,0.3%,0.1%,0.2%,84.7%,7.0%,93.0%
Westfield,26.6%,"4,549",191,94,33,67,30591,6.7240870983,6.3%,3.5%,1.9%,0.0%,3.0%,0.0%,85.3%,7.6%,92.4%
Rockaway,26.4%,594,192,249,33,12,24758,41.7045281796,6.4%,4.0%,2.4%,0.0%,1.8%,0.0%,85.4%,12.0%,88.0%
Little Falls,26.1%,"5,193",195,82,31,71,14524,2.7967875507,6.7%,3.5%,2.8%,0.0%,1.3%,0.0%,85.6%,11.1%,88.9%
Lyndhurst,25.6%,"4,786",199,92,30,68,21937,4.5839390454,8.0%,1.2%,1.7%,0.1%,3.3%,0.0%,85.8%,22.7%,77.3%
Branchburg,25.2%,731,201,237,29,17,14683,20.0728849464,8.3%,4.8%,0.5%,0.1%,0.3%,0.0%,86.0%,3.3%,96.7%
Howell,23.8%,860,205,230,28,19,52076,60.5602309455,5.2%,3.9%,2.2%,0.1%,1.5%,0.1%,87.0%,9.6%,90.4%
Waldwick,23.6%,"4,880",209,89,27,69,9985,2.0462593437,8.2%,1.9%,1.7%,0.0%,1.2%,0.0%,87.0%,10.0%,90.0%
Jackson,22.7%,570,214,253,25,11,56501,99.17094291389999,3.5%,5.5%,1.8%,0.0%,1.6%,0.0%,87.7%,9.5%,90.5%
Pompton Lakes,22.6%,"3,888",215,114,24,60,11205,2.8821098592,5.6%,1.3%,3.2%,0.0%,2.2%,0.0%,87.7%,16.9%,83.1%
Saddle Brook,22.2%,"5,229",216,81,24,72,14076,2.6919706671,8.9%,1.3%,1.0%,0.0%,1.0%,0.0%,87.7%,14.7%,85.3%
South Amboy,21.8%,"5,730",217,75,24,74,8811,1.5377312807999999,3.7%,5.9%,1.3%,0.0%,0.9%,0.0%,88.1%,13.7%,86.3%
Barnegat,21.6%,651,219,245,23,14,22141,34.0089999678,0.5%,7.2%,1.6%,0.2%,2.3%,0.0%,88.2%,8.7%,91.3%
Chatham,21.5%,"3,836",220,116,23,59,9003,2.3470895447999998,8.5%,1.6%,1.5%,0.0%,0.3%,0.0%,88.1%,9.8%,90.2%
Bedminster,20.5%,316,224,273,21,4,8244,26.1205287057,7.0%,1.4%,1.4%,0.0%,1.3%,0.0%,88.9%,7.1%,92.9%
Verona,20.2%,"4,862",225,90,21,69,13585,2.7941933448,6.4%,2.0%,2.0%,0.0%,0.6%,0.0%,89.1%,5.5%,94.5%
Manville,20.1%,"4,420",226,99,20,65,10436,2.3608848978,1.6%,4.6%,0.9%,0.0%,3.7%,0.1%,89.2%,23.4%,76.6%
