GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,mhi,density,density_rank
3402174000,Trenton,Mercer,432,"84,964",84867,0.3962317508572237,0.5047662813578894,0.0018146040274782897,0.01431651878822157,0,0.06940271247952678,0.013468132489660292,0.5830050182264821,49,0.5069469017864137,1,0.6403784745543026,0.35962152544569737,0.876047,70,0.883128,0,35524,11095.94040097649,30
3401521060,Elk,Gloucester,433,"4,175",4123,0.8163958282803784,0.12927479990298327,0,0.007276255154014068,0.004608294930875576,0.028619936939121998,0.013824884792626729,0.31570146917527353,233,0.5069469017864137,0,0.9558573853989814,0.044142614601018676,0.877803,56,0.883128,0,81649,211.49778359859707,476
3403553280,North Plainfield,Somerset,434,"22,060",22092,0.460483432916893,0.20532319391634982,8.147745790331341e-4,0.06178707224334601,0,0.23958899149013219,0.03200253485424588,0.6835520408146873,8,0.5069469017864137,1,0.5291055585732392,0.47089444142676085,0.853397,345,0.883128,0,71895,7905.8026392842075,49
3402966480,Seaside Park,Ocean,435,"1,549",1566,0.9782886334610472,0.009578544061302681,0,0.002554278416347382,0,0.0031928480204342275,0.006385696040868455,0.042802105403946356,515,0.5069469017864137,0,0.9968071519795658,0.0031928480204342275,0.871111,125,0.883128,0,71641,2410.403792529016,255
3400321300,Elmwood Park,Bergen,436,"20,429",20293,0.7474991376336668,0.06672251515300842,0.0014783422855171734,0.08456117873158232,9.362834474942099e-4,0.06120337062041098,0.03759917212832011,0.4244799398174647,154,0.5069469017864137,0,0.7289213029123343,0.2710786970876657,0.868556,160,0.883128,0,76907,7669.939520751763,51
3403961530,Rahway,Union,437,"30,131",29443,0.4942770777434365,0.29348232177427575,8.151343273443603e-4,0.037632034779064634,0,0.13633121624834427,0.03746221512753456,0.6481518446517904,20,0.5069469017864137,1,0.6747953673199063,0.32520463268009375,0.878167,52,0.883128,0,69813,7544.337818754581,57
3400705470,Berlin,Camden,438,"5,580",5453,0.7891069136255272,0.11314872547221713,0,0.04291215844489272,0.0045846323124885385,0.03337612323491656,0.016871446909957823,0.3612465612735394,202,0.5069469017864137,0,0.9444342563726389,0.05556574362736109,0.861369,264,0.883128,0,59122,1687.2296106182234,309
3403357750,Penns Grove,Salem,439,"4,831",4917,0.4866788692292048,0.35651820215578606,0,0.012812690665039659,0,0.08704494610534878,0.0569452918446207,0.6250546958295586,30,0.5069469017864137,1,0.6314826113483831,0.3685173886516168,0.866168,196,0.883128,0,37188,5403.22834111911,98
3400159640,Pleasantville,Atlantic,440,"20,732",20568,0.4206534422403734,0.38880785686503305,0.002187864644107351,0.0191073512252042,0.0013613380007779074,0.12004084014002334,0.047841306884480746,0.6548088071617105,15,0.5069469017864137,1,0.544437961882536,0.45556203811746404,0.865002,211,0.883128,0,39924,3612.489735794211,178
3401146680,Millville,Cumberland,441,"27,918",28235,0.7418452275544537,0.19015406410483443,0.002585443598370816,0.01607933415973083,0,0.016433504515672038,0.0329024260669382,0.4118892310417177,165,0.5069469017864137,0,0.8278377899769789,0.17216221002302107,0.872564,108,0.883128,0,49950,672.0486412995032,403
3403359130,Pittsgrove Twp.,Salem,442,"8,864",9009,0.9020979020979021,0.059940059940059943,8.88000888000888e-4,0.008436008436008436,0,0.01332001332001332,0.015318015318015318,0.18214254511290806,357,0.5069469017864137,0,0.9571539571539571,0.04284604284604285,0.867954,169,0.883128,0,77537,199.83049613993433,479
3401306260,Bloomfield,Essex,443,"50,970",48892,0.624785240939213,0.18698355559191687,4.499713654585617e-4,0.09433036079522213,3.0679865826720116e-4,0.06542992718645177,0.027714145463470508,0.5607328898449362,66,0.5069469017864137,1,0.7177247811502905,0.2822752188497096,0.869113,152,0.883128,0,74961,9214.335999058389,40
3400581440,Willingboro,Burlington,444,"32,062",31568,0.1880068423720223,0.7144260010136847,4.118094272681196e-4,0.020717181956411555,3.1677648251393815e-4,0.019861885453623922,0.05625950329447542,0.4502598185296228,138,0.5069469017864137,0,0.9071844906234161,0.09281550937658388,0.843664,407,0.883128,0,70967,4079.422105780251,147
3400758770,Pine Hill,Camden,445,"10,536",10517,0.648188646952553,0.2563468669772749,0,0.01568888466292669,0,0.03822382808785776,0.041551773319387655,0.5107040097511115,97,0.5069469017864137,1,0.9027289150898545,0.09727108491014548,0.870974,127,0.883128,0,51286,2716.7991066122922,230
3402574540,Union Beach,Monmouth,446,"5,562",5634,0.8374156904508342,0.09282925097621583,0,0.029818956336528223,0,0.027689030883919063,0.012247071352502662,0.2883118482049436,260,0.5069469017864137,0,0.8709620163294285,0.12903798367057154,0.860831,275,0.883128,0,77324,3122.818287849215,211
3401118220,Downe,Cumberland,447,"1,524",1580,0.9360759493670886,0.030379746835443037,0,0.006962025316455696,0,0.01139240506329114,0.015189873417721518,0.12242989905463875,435,0.5069469017864137,0,0.9620253164556962,0.0379746835443038,0.87025,134,0.883128,0,48011,32.49292537448666,531
3401176070,Vineland,Cumberland,448,"60,392",60824,0.696846639484414,0.14370971984742864,0.004554123372353018,0.013662370117059055,1.8084966460607654e-4,0.09259502827831119,0.04845126923582796,0.4826234796047214,117,0.5069469017864137,0,0.6093647244508746,0.39063527554912536,0.881364,27,0.883128,0,51113,888.9279140449153,384
3401304695,Belleville,Essex,449,"36,498",36383,0.6094329769397796,0.10452683945798862,4.947365527856417e-4,0.11112332682846385,0,0.13324904488359948,0.04117307533738284,0.5858664178264303,46,0.5069469017864137,1,0.5556990902344502,0.44430090976554987,0.865679,203,0.883128,0,67292,10892.121946586209,33
3400714260,Collingswood,Camden,450,"14,027",13969,0.8183119765194359,0.12019471687307609,0,0.02147612570692247,0,0.02426802204882239,0.015749158851743144,0.3146205422465762,236,0.5069469017864137,0,0.9173169160283485,0.08268308397165151,0.880204,35,0.883128,0,64885,7662.962624537121,52
3400341100,Lodi Borough,Bergen,451,"24,961",24805,0.7195323523483169,0.07579117113485184,0.005764966740576497,0.11521870590606732,0,0.055392058052811936,0.02830074581737553,0.45935109496077053,132,0.5069469017864137,0,0.6395081636766781,0.36049183632332193,0.882341,22,0.883128,0,57188,10952.575761797456,32
