GEOID,Town,County,Best Towns Rank,Total Population,"Population (ACS, 2012-17)",pct_white,pct_black,pct_natam,pct_asian,pct_pacis,pct_other,pct_multi,racial_diversity,racial_diversity_rank,state_racial_diversity,more_racial_diverse_than_state,pct_not_hispanic,pct_hispanic,econ_diversity,econ_diversity_rank,state_econ_diversity,more_econ_diverse_than_state,density,density_rank
3400555800,Palmyra,Burlington,373,"7,221",7296,0.700657894736842,0.177220394736842,0,0.0341282894736842,9.59429824561403e-4,0.0716831140350877,0.0153508771929825,0.471131667315905,123,0.506946901786414,0,0.910910087719298,0.0890899122807018,0.860988,273,0.883128,0,3913.6984450694,159
3402918670,Eagleswood,Ocean,374,"1,611",1605,0.945171339563863,0,0,0,0,0.011214953271028,0.043613707165109,0.104623208237498,458,0.506946901786414,0,0.981308411214953,0.0186915887850467,0.85121,357,0.883128,0,99.9331448192189,517
3402937380,Lacey,Ocean,375,"28,819",28444,0.969202643791309,0.00819153424272254,2.46097595274926e-4,0.0118478413725214,0,0.00682041906904795,0.00369146392912389,0.0603785571032545,500,0.506946901786414,0,0.952608634509914,0.0473913654900858,0.868565,159,0.883128,0,341.52126372694,444
3402369420,South River,Middlesex,376,"16,349",16345,0.819394310186601,0.0631997552768431,0.00104007341694708,0.0403793208932395,0.00489446313857449,0.0364025695931477,0.0346895074946467,0.320414719285639,229,0.506946901786414,0,0.758091159375956,0.241908840624044,0.864943,212,0.883128,0,5926.64336005248,87
3402554270,Ocean Twp.,Monmouth,377,"26,988",27006,0.80726505221062,0.0802784566392653,0.0031104199066874,0.0600607272457972,0,0.0152928978745464,0.0339924461230838,0.336872180090881,217,0.506946901786414,0,0.882988965415093,0.117011034584907,0.876247,67,0.883128,0,2482.93610767194,250
3402903050,Barnegat,Ocean,378,"22,783",22141,0.881802989928188,0.071541484124475,0.00216792376134773,0.0049681586197552,0,0.0232600153561266,0.0162594282101079,0.216470523189383,326,0.506946901786414,0,0.91323788446773,0.0867621155322705,0.864866,214,0.883128,0,644.070785395367,406
3400563660,Riverton,Burlington,379,"2,706",2730,0.912454212454212,0.0450549450549451,7.32600732600733e-4,0.00402930402930403,0,0.00842490842490842,0.0293040293040293,0.164450884890445,378,0.506946901786414,0,0.954578754578755,0.0454212454212454,0.860956,274,0.883128,0,4105.66146948904,146
3401139450,Lawrence Twp.,Cumberland,380,"3,186",3234,0.786023500309215,0.113481756338899,0.0163883735312307,0,0,0.0500927643784787,0.0340136054421769,0.365354158754636,193,0.506946901786414,0,0.86456400742115,0.13543599257885,0.873378,98,0.883128,0,87.5865202101676,521
3400557510,Pemberton Twp.,Burlington,381,"27,301",27573,0.659340659340659,0.194828274036195,0.00134189243100134,0.0226308345120226,0.00054401044500054405,0.0276719979690277,0.0936423312660936,0.517262961606384,93,0.506946901786414,1,0.869401225836869,0.130598774163131,0.856725,319,0.883128,0,449.923020738994,427
3400355770,Palisades Park,Bergen,382,"20,988",20716,0.298127051554354,0.0199362811353543,0.00502027418420545,0.567484070283839,0.00144815601467465,0.0910890133230353,0.0168951535045376,0.580074680931253,52,0.506946901786414,1,0.789293299864839,0.210706700135161,0.872424,112,0.883128,0,16565.7496762662,14
